Optimization started at Thu Nov 28 12:41:17 2024
Iteration 0 | Energy: -237.2434213171391
Iteration 1 | Energy: -237.24342131769623
Iteration 2 | Energy: -237.24342131747198
Iteration 3 | Energy: -237.2434213173429
Iteration 4 | Energy: -237.24342131660907
Iteration 5 | Energy: -237.2434213171695
Iteration 6 | Energy: -237.24342131554974
Iteration 7 | Energy: -237.2434213171978
Iteration 8 | Energy: -237.24342131733562
Iteration 9 | Energy: -237.24342131723512
Iteration 10 | Energy: -237.24342131722352
Iteration 11 | Energy: -237.24342131719814
Iteration 12 | Energy: -237.24342131709832
Iteration 13 | Energy: -237.2434213176431
Iteration 14 | Energy: -237.2434213174998
Iteration 15 | Energy: -237.24342131726564
Iteration 16 | Energy: -237.24342131714226
Iteration 17 | Energy: -237.2434213171522
Iteration 18 | Energy: -237.2434213169955
Iteration 19 | Energy: -237.2434213171056
Iteration 20 | Energy: -237.24342131689016
Iteration 21 | Energy: -237.24342131640714
Iteration 22 | Energy: -237.24342131688067
Iteration 23 | Energy: -237.24342131634944
Iteration 24 | Energy: -237.24342131723697
Iteration 25 | Energy: -237.24342131814805
Iteration 26 | Energy: -237.24342131752786
Iteration 27 | Energy: -237.24342131649703
Iteration 28 | Energy: -237.2434213167719
Iteration 29 | Energy: -237.24342131733027
Iteration 30 | Energy: -237.24342131641822
Iteration 31 | Energy: -237.24342131704935
Iteration 32 | Energy: -237.24342131717893
Iteration 33 | Energy: -237.2434213170328
Iteration 34 | Energy: -237.24342131711856
Iteration 35 | Energy: -237.2434213168269
Iteration 36 | Energy: -237.2434213180802
Iteration 37 | Energy: -237.24342131695667
Iteration 38 | Energy: -237.24342131663815
Iteration 39 | Energy: -237.24342131770624
Iteration 40 | Energy: -237.24342131675922
Iteration 41 | Energy: -237.24342131625227
Iteration 42 | Energy: -237.24342131864685
Iteration 43 | Energy: -237.2434213171391
Iteration 44 | Energy: -237.24342131704393
Iteration 45 | Energy: -237.24342131719004
Iteration 46 | Energy: -237.24342131715977
Iteration 47 | Energy: -237.24342131710884
Iteration 48 | Energy: -237.24342131709432
Iteration 49 | Energy: -237.38011599547983
Iteration 50 | Energy: -237.38011599551743
Iteration 51 | Energy: -237.38011599591817
Iteration 52 | Energy: -237.3801159950356
Iteration 53 | Energy: -237.38011599499282
Iteration 54 | Energy: -237.3801159958388
Iteration 55 | Energy: -237.3801159966632
Iteration 56 | Energy: -237.38011599569072
Iteration 57 | Energy: -237.38011599555662
Iteration 58 | Energy: -237.38011599533843
Iteration 59 | Energy: -237.38011599572476
Iteration 60 | Energy: -237.38011599481874
Iteration 61 | Energy: -237.38011599558095
Iteration 62 | Energy: -237.38011599541412
Iteration 63 | Energy: -237.38011599590294
Iteration 64 | Energy: -237.38011599515468
Iteration 65 | Energy: -237.3801159955826
Iteration 66 | Energy: -237.38011599533942
Iteration 67 | Energy: -237.38011599564257
Iteration 68 | Energy: -237.38011599541267
Iteration 69 | Energy: -237.3801159951843
Iteration 70 | Energy: -237.3801159955872
Iteration 71 | Energy: -237.3801159955579
Iteration 72 | Energy: -237.38011599616578
Iteration 73 | Energy: -237.38011599542963
Iteration 74 | Energy: -237.38011599538575
Iteration 75 | Energy: -237.3801159951999
Iteration 76 | Energy: -237.3801159950283
Iteration 77 | Energy: -237.38011599557635
Iteration 78 | Energy: -237.38011599452506
Iteration 79 | Energy: -237.38011599667013
Iteration 80 | Energy: -237.3801159954706
Iteration 81 | Energy: -237.38011599549105
Iteration 82 | Energy: -237.38011599537475
Iteration 83 | Energy: -237.38011599542372
Iteration 84 | Energy: -237.38011599638816
Iteration 85 | Energy: -237.38011599477275
