Folder	Energy
AlH_50	-237.42676238640797
AlH_55	-237.7912303552684
AlH_60	-238.08114626791584
AlH_65	-238.32065977299038
AlH_70	-238.55618238974992
AlH_75	-238.73573128069546
AlH_80	-238.883225895786
AlH_85	-238.9508272434401
AlH_90	-239.11725754143856
AlH_95	-239.19872943398195
AlH_100	-239.26828892831955
AlH_105	-239.3248851292711
AlH_110	-239.369906300764
AlH_114	-239.40755393090475
AlH_120	-239.34066229991578
AlH_125	-239.45809279633318
AlH_130	-239.37369286764002
AlH_135	-239.48958799103067
AlH_140	-239.49761072024805
AlH_145	-239.50358387758095
AlH_150	-239.50681615386864
AlH_155	-239.51240062319928
AlH_160	-239.50663936247483
AlH_165	-239.36918759311757
AlH_170	-239.4997685521358
AlH_175	-239.5004753138771
AlH_180	-239.49197213460454
AlH_185	-239.48813806497512
AlH_190	-239.47291312313484
AlH_195	-239.33985722031724
AlH_200	-239.45803444789595
AlH_204	-239.32369586358672
AlH_210	-239.44496924244623
AlH_215	-239.436138278195
AlH_220	-239.4180473162528
AlH_225	-239.31297254223853
AlH_229	-239.40941936606566
AlH_235	-239.402231597707
AlH_240	-239.38063341862022
AlH_245	-239.30378215848788
AlH_250	-239.29034518277462
AlH_254	-239.2487161140633
AlH_260	-239.34587263133324
AlH_265	-239.34993522103835
AlH_270	-239.3431280591017
AlH_275	-239.2953146510574
AlH_280	-239.32825435847187
AlH_285	-239.32071965946295
AlH_290	-239.2927038782272
AlH_295	-239.307725958573
AlH_300	-239.30122089892907
