H-Al Bond Length (Å)    HF Energy (Hartree)    FCI Energy (Hartree)
1.30    -242.35099194    -242.37895367
1.35    -242.36273836    -242.39115710
1.40    -242.37137964    -242.40035223
1.45    -242.37743665    -242.40706117
1.50    -242.38134436    -242.41172106
1.55    -242.38346744    -242.41469968
1.60    -242.38411276    -242.41630793
1.65    -242.38353951    -242.41680983
1.70    -242.38196728    -242.41643061
1.75    -242.37958279    -242.41536325
1.80    -242.37654548    -242.41377365
1.85    -242.37299224    -242.41180490
1.90    -242.36904178    -242.40958056
1.95    -242.36479897    -242.40720714
2.00    -242.36036027    -242.40477596
2.05    -242.31102532    -242.40236428
2.10    -242.35097937    -242.40003600
2.15    -242.35066855    -242.39784197
2.20    -242.35033411    -242.39582014
2.25    -242.35020563    -242.39399587
2.30    -242.35019985    -242.39238258
2.35    -242.35027005    -242.39098290
2.40    -242.35038701    -242.38979041
2.45    -242.35053146    -242.38879173
2.50    -242.35069029    -242.38796875
2.55    -242.35085448    -242.38730079
2.60    -242.35101784    -242.38676641
2.65    -242.35117615    -242.38634479
2.70    -242.35132665    -242.38601664
2.75    -242.35146761    -242.38576471
2.80    -242.35159808    -242.38557406
2.85    -242.35171765    -242.38543198
2.90    -242.35182629    -242.38532791
2.95    -242.35192428    -242.38525318
