Optimization started at Mon Nov 25 15:54:35 2024
Iteration 0 | Energy: -237.46784288057066
Iteration 1 | Energy: -237.46784287993373
Iteration 2 | Energy: -237.46784288031049
Iteration 3 | Energy: -237.46784288065805
Iteration 4 | Energy: -237.46784288065146
Iteration 5 | Energy: -237.46784288070026
Iteration 6 | Energy: -237.46784288067525
Iteration 7 | Energy: -237.46784288070853
Iteration 8 | Energy: -237.46784288059644
Iteration 9 | Energy: -237.4678428801492
Optimization started at Mon Nov 25 15:55:55 2024
Iteration 0 | Energy: -237.38392091830949
Iteration 1 | Energy: -237.38392091782643
Optimization started at Mon Nov 25 16:36:40 2024
Iteration 0 | Energy: -237.5135168139537
Iteration 1 | Energy: -237.51351681144067
Iteration 2 | Energy: -237.51351681316635
Iteration 3 | Energy: -237.5135168147187
Iteration 4 | Energy: -237.51351681410972
Iteration 5 | Energy: -237.51351681367794
Iteration 6 | Energy: -237.51351681376238
Iteration 7 | Energy: -237.51351681433218
Iteration 8 | Energy: -237.51351681408894
Iteration 9 | Energy: -237.51351681353182
Iteration 10 | Energy: -237.5135168146203
Iteration 11 | Energy: -237.51351681217722
Iteration 12 | Energy: -237.51351681481736
Iteration 13 | Energy: -237.51351681388095
Iteration 14 | Energy: -237.51351681385333
Iteration 15 | Energy: -237.51351681384097
Iteration 16 | Energy: -237.51351681441645
Iteration 17 | Energy: -237.5135168143517
Iteration 18 | Energy: -237.51351681417125
Iteration 19 | Energy: -237.5135168141466
Iteration 20 | Energy: -237.51351681504923
Iteration 21 | Energy: -237.51351681595384
Iteration 22 | Energy: -237.51351681530437
Iteration 23 | Energy: -237.513516813201
Iteration 24 | Energy: -237.51351681499634
Iteration 25 | Energy: -237.51351681433573
Iteration 26 | Energy: -237.51351681339068
Iteration 27 | Energy: -237.51351681421298
Iteration 28 | Energy: -237.5135168135425
Iteration 29 | Energy: -237.51351681363724
Iteration 30 | Energy: -237.51351681440514
Iteration 31 | Energy: -237.51351681221038
Iteration 32 | Energy: -237.51351681282668
Iteration 33 | Energy: -237.51351681384125
Iteration 34 | Energy: -237.5135168141418
Iteration 35 | Energy: -237.51351681319704
Iteration 36 | Energy: -237.51351681510792
Iteration 37 | Energy: -237.5135168136243
Iteration 38 | Energy: -237.51351681412243
Iteration 39 | Energy: -237.51351681385967
Iteration 40 | Energy: -237.51351681499636
Iteration 41 | Energy: -237.51351681204784
Iteration 42 | Energy: -237.51351681451484
Iteration 43 | Energy: -237.51351681504067
Iteration 44 | Energy: -237.51351681478786
Iteration 45 | Energy: -237.5135168139712
Iteration 46 | Energy: -237.51351681410085
Iteration 47 | Energy: -237.51351681391137
Iteration 48 | Energy: -237.5135168142989
Iteration 49 | Energy: -237.51351681354242
Iteration 50 | Energy: -237.51351681447534
Iteration 51 | Energy: -237.51351681407746
Iteration 52 | Energy: -237.51351681449898
Iteration 53 | Energy: -237.51351681401147
Iteration 54 | Energy: -237.5135168139903
Iteration 55 | Energy: -237.51351681388692
Iteration 56 | Energy: -237.51351681387237
Iteration 57 | Energy: -237.51351681380945
Iteration 58 | Energy: -237.51351681316993
Iteration 59 | Energy: -237.51351681422818
Iteration 60 | Energy: -237.5135168141517
Iteration 61 | Energy: -237.51351681285203
Iteration 62 | Energy: -237.51351681431868
Iteration 63 | Energy: -237.51351681597083
Iteration 64 | Energy: -237.51351681358636
Iteration 65 | Energy: -237.5135168132099
Iteration 66 | Energy: -237.51351681416136
Iteration 67 | Energy: -237.5135168136735
Iteration 68 | Energy: -237.51351681405535
Iteration 69 | Energy: -237.51351681395272
Iteration 70 | Energy: -237.51351681469845
Iteration 71 | Energy: -237.51351681395371
Iteration 72 | Energy: -237.51351681402653
Iteration 73 | Energy: -237.5135168139674
Iteration 74 | Energy: -237.5135168139857
Iteration 75 | Energy: -237.51351681395045
Iteration 76 | Energy: -237.51351681403628
Iteration 77 | Energy: -237.51351681398776
Iteration 78 | Energy: -237.51351681403406
Iteration 79 | Energy: -237.51351681393302
Iteration 80 | Energy: -237.51351681399433
Iteration 81 | Energy: -238.04194911563442
Iteration 82 | Energy: -238.04194911459078
Iteration 83 | Energy: -238.04194911343544
Iteration 84 | Energy: -238.04194911539477
Iteration 85 | Energy: -238.04194911538167
Iteration 86 | Energy: -238.04194911502307
Iteration 87 | Energy: -238.04194911416744
Iteration 88 | Energy: -238.04194911628258
Iteration 89 | Energy: -238.04194911607163
Iteration 90 | Energy: -238.04194911511522
