Folder	Energy
AlH_130	-239.37645212993033
AlH_130	-239.0052051088623
AlH_135	-239.36388821533703
AlH_140	-239.18812731427101
AlH_145	-239.4940941381506
AlH_150	-239.3974098894826
AlH_155	-239.1983987994564
AlH_160	-239.17924817527074
AlH_165	-239.18447153342785
AlH_170	-239.38413465737443
AlH_175	-239.38308435413313
AlH_180	-239.16188004375596
AlH_185	-239.18338660240897
AlH_190	-239.47663738444226
AlH_195	-239.33216152138354
AlH_200	-239.14678080980286
AlH_204	-239.17504102039274
AlH_210	-239.34528475336006
AlH_215	-239.16708758433347
AlH_220	-239.33390435563066
AlH_225	-239.1602263361279
AlH_229	-239.32915818957636
AlH_235	-239.3570419428055
AlH_240	-239.33076958349287
AlH_245	-239.15553973197876
AlH_250	-239.1463801662095
AlH_254	-239.32715642258577
AlH_260	-239.34492904341013
AlH_265	-239.2448272620192
AlH_270	-239.1507374244386
AlH_275	-239.25636857081682
AlH_280	-239.36964334396956
AlH_285	-239.32579186503312
AlH_290	-239.34478540409754
AlH_295	-239.14361426538392
AlH_300	-239.37044075170846
