Bond Distance (Å)    VQE Energy (Hartree)    HF Energy (Hartree)
0.30                 -0.60180371             -0.59382776
0.35                 -0.78926939             -0.78045490
0.40                 -0.91414970             -0.90436139
0.45                 -0.99841560             -0.98751314
0.50                 -1.05515979             -1.04299627
0.55                 -1.09262991             -1.07905074
0.60                 -1.11628601             -1.10112824
0.65                 -1.12990478             -1.11299655
0.70                 -1.13618945             -1.11734903
0.75                 -1.13711707             -1.11615145
0.80                 -1.13414767             -1.11085040
0.85                 -1.12836188             -1.10251055
0.90                 -1.12056028             -1.09191404
0.95                 -1.11133942             -1.07963693
1.00                 -1.10115033             -1.06610865
1.05                 -1.09034218             -1.05165676
1.10                 -1.07919294             -1.03653888
1.15                 -1.06792966             -1.02096414
1.20                 -1.05674075             -1.00510671
1.25                 -1.04578314             -0.98911381
1.30                 -1.03518627             -0.97311062
1.35                 -1.02505436             -0.95720318
1.40                 -1.01546825             -0.94148065
1.45                 -1.00648693             -0.92601718
1.50                 -0.99814935             -0.91087355
1.55                 -0.99047634             -0.89609896
1.60                 -0.98347273             -0.88173245
1.65                 -0.97712962             -0.86780438
1.70                 -0.97142669             -0.85433763
1.75                 -0.96633454             -0.84134860
1.80                 -0.96181695             -0.82884815
1.85                 -0.95783297             -0.81684229
1.90                 -0.95433885             -0.80533284
1.95                 -0.95128976             -0.79431797
2.00                 -0.94864111             -0.78379265
2.05                 -0.94634974             -0.77374921
2.10                 -0.94437468             -0.76417765
2.15                 -0.94267779             -0.75506614
2.20                 -0.94122403             -0.74640135
2.25                 -0.93998171             -0.73816883
2.30                 -0.93892239             -0.73035332
2.35                 -0.93802086             -0.72293907
2.40                 -0.93725495             -0.71591006
2.45                 -0.93660526             -0.70925022
2.50                 -0.93605492             -0.70294360
2.55                 -0.93558937             -0.69697450
2.60                 -0.93519603             -0.69132756
2.65                 -0.93486413             -0.68598782
2.70                 -0.93458442             -0.68094076
2.75                 -0.93434899             -0.67617231
2.80                 -0.93415110             -0.67166886
2.85                 -0.93398498             -0.66741725
2.90                 -0.93384575             -0.66340474
2.95                 -0.93372922             -0.65961904

Lowest VQE Energy: -1.13711707 Hartree at bond distance 0.75 Å
Lowest Hartree-Fock Energy: -1.11734903 Hartree at bond distance 0.70 Å
